Creator1,Creator2,Creator3,Creator4,Title,Creation Date,Destruction Date,Display Date,Extant,Location,City,Location Display,Geocoordinates,Link to Luna,Filename,Image Source
Ron Blackburn,Mitchell Caton,,,Revelation,1973,,creation date: 1973,,33rd St. and Calumet Ave (or 32nd St. between King Dr. and Calumet Ave.),Chicago,33rd St. and Calumet Ave (or 32nd St. between King Dr. and Calumet Ave.),"41.836585, -87.617734",http://luna.lib.uchicago.edu/luna/servlet/s/9v3b1p,7148536.jpg,"Mark Rogovin, original photography; For educational use only."
Jose Guerrero,,,,Si Se Puede/Yes We Can,1973,,creation date: 1973,,1210 W. 19th St.,Chicago,1210 W. 19th St.,,,,
Astrid Fuller,,,,Spirit of Hyde Park,1973,,creation date: 1973,Yes,57th Street at Lake Park Av. (south),Chicago,"Illinois Central Underpass, 55th St. and S. Lake Park Ave. (south side)","41.795129, -87.587451",,,
Mark Rogovin,Chicago Community Youth,Public Art Workshop,,Break the Grip of the Absentee Landlord,1973,,creation date: 1973,No,5219 W. Madison St.,Chicago,5219 W. Madison St.,,http://luna.lib.uchicago.edu/luna/servlet/s/g6e7ih,7140156.jpg,
Kathy Judge,Caryl Yasko,,,The Beginning,1973,,creation date: 1973,,5650 S. Woodlawn Ave.,Chicago,"First Unitarian Church, 5650 S. Woodlawn Ave.",,,,
Barry Brunner,Calumet School Art Club,,,The Black Athlete Rises,1973,,creation date: 1973,,1155 W. 81st St.,Chicago,"Auburn YMCA, 1155 W. 81st St.",,,,
William,Caryl Yasko,,,The Health of the People,1973,,creation date: 1973,,4705 S. Prairie Ave.,Chicago,4705 S. Prairie Ave.,,,,
Don McIlvaine,,,,"Untitled (""The Arts"")",1973,,creation date: 1973,,100th St. near Dorchester Ave.,Chicago,Olive-Harvey Community College,"41.714117, -87.590374",,,
Lou Pearson,,,,Untitled,1973,,creation date: 1973,,920 W. Lakeside Ave.,Chicago,"920 W. Lakeside Ave., inside a daycare",,,,
Mitchell Caton,,,,Wall of Self Awareness,1973,,creation date: 1973,,1249 E. 63rd St.,Chicago,1249 E. 63rd St.,,http://luna.lib.uchicago.edu/luna/servlet/s/g87r1g,7148530.jpg,"Mark Rogovin, original photography; For educational use only."
Dave Garlovsky,William Walker,Children,,Wall of Unity and Truth,1973,,creation date: 1973,,5335 S. Kenwood Ave.,Chicago,"Phillip Murray School, 5335 S. Kenwood Ave.",,,,
Holly Highfill,,,,What Have We Done?,1973,,creation date: 1973,,542 S. Dearborn St.,Chicago,542 S. Dearborn St.,,,,
Puerto Rican Art Association,,,,Who Started It All?,1973,,creation date: 1973,,2115 W. North Ave.,Chicago,2115 W. North Ave.,,,,
William Walker,,,,History of the Packinghouse Worker,1974,,creation date: 1974,Yes,4859 S. Wabash Ave.,Chicago,4859 S. Wabash Ave.,,,,
Caryl Yasko,,,,Razem,1975,,creation date: 1975,,4040 W. Belmont Ave,Chicago,4040 W. Belmont Ave,,http://luna.lib.uchicago.edu/luna/servlet/s/23zc65,7148562.jpg,"Mark Rogovin, original photography; For educational use only."
Mitchell Caton,Calvin Jones,Justine DeVan,,A Time to Unite,1976,,creation date: 1976; restored 2003,Yes,"41st Street and Drexel Avenue, Chicago",Chicago,4101 S. Drexel Ave.,,,,
William Walker,Mitchell Caton,Santi Isrowuthukal,,Wall of Daydreaming / Man's Inhumanity to Man,1975,,creation date: 1975,Yes,47th and Calumet,Chicago,332 E. 47th St. ,,,,
William Walker,,,,Childhood Is Without Prejudice,1977,,creation date: 1977,Yes,56th St. and Stony Island Ave.,Chicago,56th St. and Stony Island Ave.,"41.793356, -87.586660",http://luna.lib.uchicago.edu/luna/servlet/s/7xnfx3,7148482.jpg,"Mark Rogovin, original photography; For educational use only."
Mitchell Caton,Justine DeVan,,,Black Women Emerging,1977,,creation date: 1977,Yes,4120 S. Cottage Grove Ave.,Chicago,4120 S. Cottage Grove Ave.,,,,
